Etunimi,Lukumäärä
Anna-Riitta,285
Jennie,285
Lillemor,285
Marie-Louise,285
Auni,284
Eden,283
Jolanda,282
Kaija-Leena,282
Mariina,282
Selena,282
Theresia,282
Hanni,281
Arla,280
Janet,280
Abdullahi,279
Elli-Noora,279
Marietta,277
Etel,276
Salma,276
Celina,275
Arja-Leena,274
Zahra,274
Isabell,272
Sirke,272
Eeva-Kaarina,271
Judith,271
Minnea,271
Sissi,271
Tiiu,271
Alessia,270
Ann-Kristin,270
Karola,270
Pieta,270
Emelia,269
Hellikki,269
Marion,268
Ksenia,267
Ninna,266
Salome,266
Martha,265
Rosaliina,265
Simone,265
Alviina,263
Aino-Maija,261
Belinda,261
Lotte,261
Dina,260
Maryam,260
Stephanie,260
Annakaisa,259
Nancy,259
Tekla,258
Armida,257
Clarissa,256
Kim,255
Sirpa-Liisa,255
Meimi,254
Melanie,254
Telma,254
Desiré,253
Daria,250
Julie,250
Minna-Maria,250
Solja,249
Ulrica,249
Kaija-Liisa,248
Ingalill,245
Majlis,244
Myy,244
Sienna,244
Gunnevi,243
Gurli,243
Leonora,243
Sally,243
Tilde,243
Malena,242
Valdine,242
Annamaija,241
Pirjetta,240
Sannamari,240
Fia,239
Riitta-Leena,239
Ann-Britt,238
Emmy,238
Ingela,238
Leni,238
Pia-Maria,238
Ann-Louise,237
Ngoc,237
Bernice,236
Desirée,236
Helle,236
Margot,236
Sanna-Maija,236
Anitra,235
Bodil,235
Gudrun,235
Karen,235
Tinka,234
Viliina,234
Anastacia,232
Estella,232
Evelia,232
Ilmatar,231
Merja-Liisa,231
Larisa,230
Ulla-Riitta,230
Severiina,229
Adriana,228
Eleanor,228
Juliet,228
Noona,228
Christin,227
Nicola,227
Vivan,227
Adolfiina,225
Kristel,225
Meri-Tuulia,225
Pilvikki,225
Heidi-Maria,224
Reea,222
Anne-Maija,221
Antonina,221
Molly,221
Rachel,221
Betty,219
Alessandra,217
Carin,217
Gerda,217
Tia-Maria,217
Esmeralda,216
Manta,215
Marta,215
Dagny,214
Venny,214
Eliisabet,213
Iia,213
Thuy,212
Ani,211
Judit,211
Piitu,211
Sallamari,211
Vadelma,211
Amy,210
Katerina,210
Maria-Liisa,210
Nadezda,210
Satu-Maarit,210
Tarleena,210
Lyydi,209
