Sukunimi,Nimenhaltijoita yhteensä
Mankinen,640
Virtala,640
Sääskilahti,639
Rönnberg,638
Silventoinen,638
Tuokko,638
Wikman,638
Javanainen,637
Kiiveri,637
Viitamäki,637
Friberg,636
Heinola,636
Mynttinen,636
Vuolle,636
Häkli,635
Vanninen,635
Jalo,634
Lehtoranta,634
Mustajärvi,634
Broman,633
Koho,633
Leppäniemi,633
Mölsä,633
Kuosa,632
Piispa,632
Pärnänen,631
Vähämäki,631
Sassi,630
Väistö,630
Marjanen,628
Söderman,628
Tuovila,628
Katila,627
Viertola,627
Hukka,626
Larsson,626
Hotti,625
Häggman,625
Ikäheimo,625
Pukkila,625
Pätsi,625
Simpanen,625
Virkkala,625
Matero,624
Nikulainen,623
Vähätalo,623
Mulari,622
Roponen,622
Wiklund,622
Blomster,621
Puputti,621
Luukkainen,620
Villanen,620
Kaivola,619
Kilpi,619
Ståhl,619
Akkanen,618
Enberg,618
Inkeroinen,618
Kivilahti,618
Mikola,618
Köykkä,617
Vähäkuopus,617
Heininen,616
Ingman,616
Ritvanen,616
Torikka,616
Hannuksela,615
Hulkko,615
Lindblad,615
Tilli,614
Halminen,613
Niemeläinen,613
Hannonen,612
Paunonen,612
Kähärä,611
Leppä,611
Oikari,611
Saranpää,611
Hyväri,610
Natunen,610
Leikas,609
Myllys,609
Liukko,608
Skyttä,608
Kero,607
Sulonen,607
Tapanainen,607
Välikangas,607
Kleemola,606
Mutikainen,606
Ruottinen,606
Vasara,606
Hietaniemi,605
Torkkeli,605
Hellgren,604
Nissi,604
Pihlajamaa,604
Rokka,604
Nikkola,603
Perttunen,601
Riihelä,601
Kontinen,598
Perämäki,598
Toppinen,598
Joronen,597
Niininen,597
Ruoho,597
Keronen,596
Vertanen,596
Teppo,595
Hännikäinen,594
Björkqvist,593
Ilmonen,593
Malkki,593
Haapasaari,592
Simula,591
Sundholm,591
Onnela,590
Finne,588
Hemminki,588
Kerttula,588
Kokki,588
Mansikka,588
Sipponen,588
Takkunen,588
Posio,587
Rantonen,587
Saarijärvi,587
Tuomala,587
Lundqvist,586
Nyrhinen,586
Pirilä,586
Erola,585
Honka,585
Hyyppä,585
Paakki,585
Pitkälä,585
West,585
Westman,585
Väliaho,585
Bollström,584
Kontturi,584
Tapola,584
Tuunainen,584
Kaakinen,583
Kakkonen,583
Paalanen,583
Ahopelto,582
Behm,582
Majava,582
Honkaniemi,581
Kanto,580
Korpelainen,580
Stenius,580
Heinilä,579
Tiusanen,579
Ilves,578
Isokangas,578
Maaranen,578
Ilonen,577
Ojaniemi,577
Innanen,576
Latva,576
Lavikainen,576
Murtomäki,576
Mäntyniemi,576
Paukku,576
Kronqvist,575
Hemmilä,574
Kylmänen,574
Huttu,573
Mattinen,573
Pirskanen,573
Päkkilä,573
Roivas,573
Sonninen,573
Juusola,572
Mettälä,572
Kanervo,571
Lindh,571
Oittinen,571
Kunttu,570
Sirkka,570
Petäjä,569
Lantto,567
Rapo,566
Tallgren,566
Lamminmäki,565
Lehtovaara,565
Ståhlberg,565
Sund,565
Kareinen,564
Haukka,562
Kahila,562
Leppämäki,562
Puumala,561
Viitasaari,561
Hentunen,560
Husso,560
Kautonen,560
Isoniemi,559
Karhumaa,559
Ruponen,559
Blomerus,558
Lonka,558
Sandvik,558
Törnqvist,558
Karhapää,557
Saksa,557
Hentilä,556
Piitulainen,556
Suoniemi,556
Ulmanen,556
Noponen,555
Paronen,555
Sjöström,555
Lehtiö,554
Leiviskä,554
Impola,553
Kukko,553
Hanhela,552
Hirsimäki,552
Hyytinen,552
Karppi,552
Karsikas,552
Stolt,552
Mylläri,551
Palmroth,551
Abdi,550
Lehtilä,550
Rimpiläinen,550
Åström,550
Alanne,549
Linden,549
Pudas,549
Sintonen,549
Hiltula,548
Hatakka,547
Metsäranta,547
Sjögren,547
Sorvali,547
Hanski,546
Lukkarila,546
Huuhka,545
Tanttu,545
Tulonen,545
Hyry,544
Kiviaho,544
Liedes,543
Pahkala,542
Mourujärvi,541
Paakkari,541
Peiponen,541
Halmetoja,540
Hellberg,540
Puikkonen,540
Saarni,540
Selenius,540
Juselius,539
Lauri,539
Välitalo,539
Tornberg,538
Rehn,537
Tokola,537
Häkkilä,536
Laari,536
Strandberg,536
Alm,535
Lemmetty,535
Vallius,535
Jokiranta,534
Kaleva,534
Lönnberg,532
Sten,532
Ahtola,531
Granroth,531
Heiska,531
Kaila,531
Mäkiranta,531
Törmälä,531
Koivikko,530
Mörsky,530
Siivola,530
Alenius,529
Hautakangas,529
Pirnes,529
